発生日
2004/4/27
2004/5/30
2004/6/21
2005/1/8
2005/1/17
2005/1/20
2005/3/4
2005/3/18
2005/4/10
2005/4/25
2005/5/1
2005/11/27
2005/11/29
2005/12/2
2005/12/5
2005/12/9
2005/12/23
2006/3/18
2006/4/11
2006/4/29
2006/5/10
2006/6/8
2006/9/18
2006/10/11
2006/12/2
2007/1/10
2007/1/13
2007/2/10
2007/4/13
2007/5/1
2007/8/2
2007/8/8
2007/10/19
2008/4/26
2008/7/27
2009/7/8
2010/3/4
2010/4/27
2010/5/24
2010/11/2
2010/12/15
2010/12/31
2011/1/19
2011/2/1
2011/2/23
2011/3/20
2011/3/24
2011/4/22
2011/4/30
2011/10/15
2011/11/25
2011/12/24
2012/3/15
2012/4/22
2012/4/26
2012/7/12
2012/9/15
2012/11/7
2012/11/12
2012/11/13
2012/11/14
2012/12/8
2012/12/15
2013/2/9
2013/4/11
2013/4/26
2013/5/10
2013/5/15
2013/5/29
2013/7/29
2013/11/20
2013/11/28
2013/12/6
2013/12/12
2013/12/14
2013/12/21
2014/8/10
2014/8/15
2014/11/14
2014/11/28
2014/12/5
2015/2/12
2015/3/11
2015/5/12
2015/8/25
2016/1/14
2016/1/15
2016/2/9
2016/4/2
2016/4/7
2016/4/21
2016/5/6
2016/5/15
2016/10/5
2016/10/25
2016/12/15
2017/1/20
2017/4/6
2017/4/24
2017/6/1
2017/6/7
2017/6/21
2017/11/24
2017/11/25
2017/12/5
2017/12/9
2017/12/31
2018/1/23
2018/2/5
2018/3/5
2018/4/14
2018/5/2
2018/7/1
2018/8/21
2018/9/4
2018/10/6
2018/11/23
2018/12/18
2018/12/24
2019/1/17
2019/1/21
2019/3/30
2019/7/26
2019/8/14
2020/1/9
2020/1/21
2020/3/16
2020/4/17
2020/5/10
2020/5/16
2020/5/19
2020/6/30
2020/9/7
2020/12/19
2021/1/2
2021/1/13
2021/3/4
2021/3/20
2021/3/28
2021/4/16
2021/5/5
2021/5/25
2021/6/3
2021/6/11
2021/8/19
2021/11/10
2021/11/11
2021/11/23
2021/12/4
2022/3/26
2022/4/26
2022/7/4
2022/8/4
2022/9/6
2022/12/2
2022/12/7
2022/12/14
2022/12/15
2022/12/17
2023/3/13
2023/5/25
2023/8/10
2023/8/25
2023/11/18
2023/11/19
2023/11/28
2023/12/3
